model,clip_id,script,der,jer,der_miss_sec,der_fa_sec,der_confusion_sec,der_total_sec,n_speakers_ref,n_speakers_hyp,speaker_count_error,speaker_count_correct,der_correct_sec
pyannote-3.1,LqQHdo7t5Ps__198_498,Devanagari,0.15553247283996882,0.2415707775391821,8.62999999999999,7.073000000000102,29.965999999999944,293.62999999999994,3,3,0,1,255.03399999999996
pyannote-3.1,Md3p6RTanBg__315_426,Bengali,0.04823352764529247,0.045726881139715625,4.632000000000014,0.8290000000000012,0.0,113.22000000000004,3,3,0,1,108.58800000000002
pyannote-3.1,MmtWBUK2DKE__0_310,Devanagari,0.08846517696949863,0.2867536693741321,13.770999999999772,6.7720000000000145,6.576000000000008,306.5499999999999,5,4,-1,0,286.2030000000001
pyannote-3.1,NLgHpYyf5bY__313_383,Devanagari,0.20995790390477598,0.36049558256611436,4.8880000000000114,2.1809999999999943,7.39500000000001,68.89,2,2,0,1,56.60699999999998
pyannote-3.1,NuhdqCEuIBo__197_540,Gurmukhi,0.22120606691617245,0.3375575816692686,26.52199999999992,19.489000000000285,32.598999999999975,355.3699999999999,3,3,0,1,296.24899999999997
pyannote-3.1,O4_aeGFzZ8A__0_335,Kannada,0.15270925247001768,0.1671686298253276,27.628999999999976,20.776999999999916,0.7450000000000045,321.86,8,8,0,1,293.48600000000005
pyannote-3.1,OXUt5KnlUMo__91_181,Oriya,0.2858631469260155,0.4221237960217209,5.953999999999991,3.6199999999999672,15.11600000000001,86.37000000000003,2,2,0,1,65.30000000000004
pyannote-3.1,OxYCBQKZ3iY__0_1822,Gurmukhi,0.29999413909109085,0.36322047034108934,142.27899999999835,83.11500000000126,286.4620000000011,1706.219999999999,7,7,0,1,1277.4789999999994
pyannote-3.1,PCUA2q2C-2A__45_107,Devanagari,0.04208532366990603,0.06565329614400871,0.9759999999999991,1.505999999999996,0.0730000000000004,60.71000000000001,3,3,0,1,59.66100000000001
pyannote-3.1,PEDfT9-Yf2o__0_469,Bengali,0.06313462493790381,0.0830070502050244,13.765000000000068,2.5139999999999176,9.139000000000095,402.6000000000001,3,3,0,1,379.6959999999999
pyannote-3.1,PQB3-4sZUeY__0_1132,Telugu,0.340498683461429,0.4685766054464746,89.1160000000008,57.45099999999956,236.20799999999994,1124.1600000000008,4,4,0,1,798.8360000000001
pyannote-3.1,PRAzUz0GANs__223_283,Kannada,0.3871348762968874,0.4977654005233487,6.426999999999996,5.033999999999999,12.792999999999996,62.649999999999984,2,2,0,1,43.42999999999999
pyannote-3.1,PSIzXy5-y2E__2_918,Devanagari,0.3245072797796397,0.3002744248891165,152.53400000000022,78.6710000000002,57.4279999999999,889.4499999999992,3,4,1,0,679.4879999999991
pyannote-3.1,PVDfS7lcJHY__0_360,Kannada,0.21720363002834278,0.29662381501046303,33.98599999999974,12.939000000000087,36.604999999999876,384.56999999999965,6,6,0,1,313.97900000000016
pyannote-3.1,Pjre5dpnKGA__0_330,Kannada,0.2140707859143186,0.4396946006342009,24.066000000000116,12.501000000000067,35.288,335.66,4,3,-1,0,276.30599999999987
pyannote-3.1,QhpjuNTZoA8__0_586,Kannada,0.32427067718714464,0.5234640560298817,35.79099999999994,10.597000000000019,150.467,607.0700000000002,3,2,-1,0,420.8120000000001
pyannote-3.1,QuA_B6IZ6Ls__61_1863,Devanagari,0.41614674739060564,0.3915025161820961,655.6260000000011,131.58799999999923,203.9559999999982,2381.7800000000043,4,5,1,0,1522.198000000003
pyannote-3.1,RL2fhIEEbZg__0_65,Telugu,0.14609744921338044,0.4342006072183468,3.369000000000021,1.1300000000000026,5.065999999999995,65.47000000000001,3,3,0,1,57.035
pyannote-3.1,RL2fhIEEbZg__66_1034,Telugu,0.27922949232258915,0.31121781972823975,114.34700000000066,80.71699999999882,87.53300000000043,1012.0600000000012,3,3,0,1,810.1800000000001
pyannote-3.1,RWTmftezCwI__0_60,Malayalam,0.13550999310820147,0.15074146069989144,5.854000000000018,1.913999999999998,0.09699999999999953,58.04000000000001,2,2,0,1,52.088999999999984
pyannote-3.1,RZUZyvRzi80__0_336,Gurmukhi,0.024507408209347575,0.032258133598100605,3.5889999999999844,2.595999999999993,1.7379999999999995,323.28999999999996,4,4,0,1,317.963
pyannote-3.1,SZ7ay4OjfAE__0_897,Telugu,0.3603655031614839,0.4999225931824909,130.08400000000046,33.7459999999998,199.78600000000017,1009.0199999999999,5,4,-1,0,679.1499999999997
pyannote-3.1,T3I2T-cfhG4__160_210,Devanagari,0.12484564615712154,0.14059071266674913,1.9969999999999999,3.019999999999998,0.8470000000000013,46.97,2,2,0,1,44.126000000000005
pyannote-3.1,TU3M6wSQV_g__99_171,Telugu,0.23887323943661973,0.4689159915627488,3.970000000000019,4.476999999999986,9.360999999999997,74.55000000000001,2,2,0,1,61.219
pyannote-3.1,Tlha36rSd5o__240_374,Tamil,0.17006476373231,0.14668450479654582,12.416000000000004,7.954000000000006,0.8999999999999986,125.07,2,2,0,1,111.75399999999998
